,Model,Language Model,Features,NEstimators,Average Accuracy,Average F1 Score,Average Precision,Average Recall
30,Light GBM,roberta-large,NLP,100,0.6897606229219613,0.6854176449849272,0.6897069030424174,0.6895054344432543
31,Light GBM,roberta-large,NLP,150,0.7024264235671119,0.69880879549673,0.7021922116652493,0.7022290712828378
32,Light GBM,roberta-large,NLP,200,0.7101450215224382,0.706898442344858,0.7095971841704035,0.7099937570405999
33,Light GBM,roberta-large,NLP,250,0.716077563873722,0.7132013590971334,0.7154730922860933,0.7159420683817848
34,Light GBM,roberta-large,NLP,500,0.7282094963017949,0.7262801861463103,0.7274364806041957,0.728176780821453
35,Light GBM,xlnet,NLP,25,0.8468614515585859,0.8462430647504761,0.8521418301849767,0.8466991729340144
36,Light GBM,xlnet,NLP,50,0.8639816628624422,0.8636834042870654,0.8670691438907074,0.8639007925624925
37,Light GBM,xlnet,NLP,100,0.8744510337141603,0.8742798611208856,0.876428282663784,0.874389351897498
38,Light GBM,xlnet,NLP,150,0.8769759760777147,0.8768741422344982,0.8785268559784521,0.8769307527340192
39,Light GBM,xlnet,NLP,200,0.8781666039652256,0.8780943118122412,0.879511998631082,0.8781303335625854
40,Light GBM,xlnet,NLP,250,0.8790698418204453,0.879006618440506,0.8803107136936053,0.8790397177807062
41,Light GBM,xlnet,NLP,500,0.8819231787675392,0.8819152421633426,0.8831485511236039,0.8818951118163838
42,Light GBM,xlnet-large,NLP,25,0.8269491046335353,0.8263383852369838,0.8341650140405094,0.8267536764000825
43,Light GBM,xlnet-large,NLP,50,0.8438848312741303,0.8435386105132601,0.8487135968759905,0.8437229340419202
44,Light GBM,xlnet-large,NLP,100,0.856468593320139,0.8563112956811876,0.8597901065763078,0.8563526702595452
45,Light GBM,xlnet-large,NLP,150,0.8612310627321176,0.861127037815819,0.864035159322848,0.8611202932308437
46,Light GBM,xlnet-large,NLP,200,0.8637354585750794,0.8636940632210592,0.8664590609213425,0.8636228235389574
47,Light GBM,xlnet-large,NLP,250,0.8643923825839668,0.8643778536522421,0.8670236094197221,0.8642849540329844
48,Light GBM,xlnet-large,NLP,500,0.8671225626078947,0.8671859470794263,0.8699134194342332,0.8670096070821133
49,Light GBM,albert,NLP,25,0.8499817289349284,0.8494340823171953,0.8564818337753257,0.849787290419877
50,Light GBM,albert,NLP,50,0.8646181794063521,0.8642023041032003,0.869266670865672,0.8644412200441748
51,Light GBM,albert,NLP,100,0.8734041598360862,0.8731323581077657,0.8765512335615409,0.8732714859689249
52,Light GBM,albert,NLP,150,0.8749232707970735,0.8746876277885557,0.8775844970808201,0.8748060799058681
53,Light GBM,albert,NLP,200,0.8757237886907502,0.875520676378472,0.878192695261909,0.8756164017644998
54,Light GBM,albert,NLP,250,0.8767091536350486,0.8765450058601008,0.879039883429549,0.876605163700732
55,Light GBM,albert,NLP,500,0.8781871462720117,0.8781168355709221,0.8804767402216547,0.8780957719749191
56,Light GBM,albert-large,NLP,25,0.8368439187524167,0.8360808281302436,0.8433077616828101,0.8366265045714194
57,Light GBM,albert-large,NLP,50,0.8528967307266389,0.8524734615953099,0.8571318624847309,0.8527518047964037
58,Light GBM,albert-large,NLP,100,0.8652135059915272,0.8649802214649096,0.868058819497797,0.8650997488623572
59,Light GBM,albert-large,NLP,150,0.8696063992888442,0.8695106997474827,0.8721020922602788,0.8695143059667967
60,Light GBM,albert-large,NLP,200,0.8715361288399999,0.8714731920190533,0.8739737318493119,0.8714262517291289
61,Light GBM,albert-large,NLP,250,0.8722546334173735,0.8722229899416547,0.8746811277301593,0.8721531077155499
62,Light GBM,albert-large,NLP,500,0.8750463645131419,0.8750288216604583,0.8775626868761585,0.874938182705671
