,Model,Language Model,Features,PCA_Components,Average Accuracy,Average F1 Score,Average Precision,Average Recall,diff
26,Light GBM,gpt2,NLP,128,0.730919365778295,0.731272885714829,0.751392456463275,0.730194342076099,
27,Light GBM,gpt2,NLP,256,0.732068921693654,0.732454466250705,0.75238368805735,0.73132916994487,0.003725121377807
28,Light GBM,gpt2,NLP,512,0.733752202556668,0.734174790390747,0.753820533522222,0.732983609628794,
29,Light GBM,gpt2,NLP,768,0.73611292023871,0.736577190564081,0.755857336585543,0.735321380874382,
30,Light GBM,roberta,NLP,2,0.539249656743321,0.522767206163036,0.535251274715678,0.53777461126104,
31,Light GBM,roberta,NLP,4,0.625036095466652,0.620734692029669,0.623110650863124,0.624379789481433,
32,Light GBM,roberta,NLP,8,0.697971730583369,0.694173114971514,0.697870612014121,0.697647306647889,
33,Light GBM,roberta,NLP,16,0.762142382668243,0.759709741782119,0.763059354999297,0.761961346865564,
34,Light GBM,roberta,NLP,32,0.785482724404581,0.784191686246665,0.787450361895219,0.78534411402858,
35,Light GBM,roberta,NLP,64,0.812949389823961,0.812519840263247,0.814989368868698,0.812862341612694,
36,Light GBM,roberta,NLP,128,0.822310120821631,0.822033411633703,0.824125513888627,0.822238340023302,
37,Light GBM,roberta,NLP,256,0.825779229743137,0.825667684668702,0.827711351292859,0.825709326930283,0.043231066473312
38,Light GBM,roberta,NLP,512,0.827565129436337,0.827422752719978,0.829441484849515,0.827477856941056,
39,Light GBM,roberta,NLP,768,0.826579802416298,0.82653319414878,0.828485250018531,0.826513793136176,
40,Light GBM,roberta-large,NLP,2,0.371002260622922,0.366555170323728,0.373757265261349,0.369838680183806,
41,Light GBM,roberta-large,NLP,4,0.422157875992057,0.416519896071416,0.424994664160199,0.421040858609182,
42,Light GBM,roberta-large,NLP,8,0.484993964986302,0.480549508395521,0.485021996816446,0.484030239732874,
43,Light GBM,roberta-large,NLP,16,0.533399279405375,0.527861901740553,0.53534907390881,0.532641936185434,
44,Light GBM,roberta-large,NLP,32,0.578375966942182,0.571159605495786,0.582825708626997,0.577710016961182,
45,Light GBM,roberta-large,NLP,64,0.618652005822469,0.61231514889729,0.621244236382155,0.618033638087203,
46,Light GBM,roberta-large,NLP,128,0.655663760488586,0.650174316325744,0.656851521097698,0.655244638422542,
47,Light GBM,roberta-large,NLP,256,0.675206168911614,0.670821689497412,0.6747711007865,0.674878231283319,0.11627176570427
48,Light GBM,roberta-large,NLP,512,0.690561254588414,0.687431371200056,0.689408065550672,0.690372324068812,
49,Light GBM,roberta-large,NLP,768,0.696534898408496,0.69359806798442,0.695000828417678,0.696365910053092,
50,Light GBM,xlnet,NLP,2,0.546147240850056,0.534995964384568,0.552717294116148,0.546188485375387,
51,Light GBM,xlnet,NLP,4,0.710822403561981,0.70439956714538,0.71256265233553,0.710903308720157,
52,Light GBM,xlnet,NLP,8,0.786406571987491,0.784728253053378,0.791219690339414,0.786359011926247,
53,Light GBM,xlnet,NLP,16,0.822925736885201,0.82195601176055,0.827097499927263,0.822888435981796,
54,Light GBM,xlnet,NLP,32,0.846553464440024,0.846144426252761,0.850086414583369,0.846505666948599,
55,Light GBM,xlnet,NLP,64,0.862811539357459,0.86252415744048,0.864918958473555,0.862762505790978,
56,Light GBM,xlnet,NLP,128,0.869667929291652,0.869429878743755,0.87152984761999,0.869619043852097,
57,Light GBM,xlnet,NLP,256,0.870468485109588,0.870171650022675,0.872183366170524,0.870417096126237,0.023932819927152
58,Light GBM,xlnet,NLP,512,0.870365971624564,0.870077246179913,0.872089498145929,0.870318722488875,
59,Light GBM,xlnet,NLP,768,0.870427510054985,0.870189125214848,0.872220651437418,0.870375269267731,
60,Light GBM,xlnet-large,NLP,2,0.456911822558967,0.436100181924096,0.454339301879136,0.456997177519371,
61,Light GBM,xlnet-large,NLP,4,0.674241375770747,0.66886519684216,0.677648535988287,0.674188415961354,
62,Light GBM,xlnet-large,NLP,8,0.751734238425263,0.749902578764481,0.756019940706297,0.751740085330275,
63,Light GBM,xlnet-large,NLP,16,0.800960629900025,0.800227854925208,0.805679463773718,0.80087813455663,
64,Light GBM,xlnet-large,NLP,32,0.822781961806732,0.822404890662132,0.82714310149911,0.822666639588253,
65,Light GBM,xlnet-large,NLP,64,0.836166309167322,0.83595071162472,0.840544218014925,0.836038839231948,
66,Light GBM,xlnet-large,NLP,128,0.845793774117722,0.84547354252025,0.850129211537329,0.845644672398042,
67,Light GBM,xlnet-large,NLP,256,0.849961034931108,0.849793956341886,0.853812357050817,0.849837504725293,0.028531515897069
68,Light GBM,xlnet-large,NLP,512,0.851049115623143,0.8509364065592,0.854599719039637,0.850946865330586,
69,Light GBM,xlnet-large,NLP,768,0.851172133490694,0.851032336233255,0.85468630240892,0.85106266013151,
70,Light GBM,albert,NLP,2,0.587223641713179,0.579758239525644,0.590896965445827,0.586776061939986,
71,Light GBM,albert,NLP,4,0.716118758046264,0.71169890668333,0.722203348502333,0.715849025770804,
72,Light GBM,albert,NLP,8,0.800427292622569,0.799432236315247,0.807246033890351,0.800351626671203,
73,Light GBM,albert,NLP,16,0.837048992074335,0.836571443140611,0.842601421692276,0.836900568600497,
74,Light GBM,albert,NLP,32,0.853307151267901,0.8529106904421,0.858206275578516,0.853152691045474,
75,Light GBM,albert,NLP,64,0.863468678270479,0.863075069671803,0.867160940395088,0.863298195918174,
